Constelación;Nombre;RA;DEC;Distancia;Magnitud;Luminosidad;Tipo Espectral;
Canis Minor;;7.469387;8.92553;97.561;4.33;153.6031;K3;
Canis Minor;;8.03776;2.334571;77.8816;4.39;92.64031;K2;
Canis Minor;;7.496606;12.006564;175.4386;4.55;405.8822;K2;
Canis Minor;;7.427471;9.276097;319.4888;4.99;897.0156;G8;
Canis Minor;;7.861663;1.766868;191.2046;5.12;284.97055;B8;
Canis Minor;;7.467243;6.941968;97.561;5.22;67.67059;F0;
Canis Minor;;7.534986;1.914481;233.1002;5.24;379.48972;F0;
Canis Minor;;7.771167;10.768252;92.4214;5.25;59.101704;A1;
Canis Minor;;7.972404;2.224767;74.0741;5.3;36.240986;K0;
Canis Minor;;7.238906;3.111414;227.2727;5.36;322.99814;K0;
Canis Minor;;7.416161;11.669524;96.9932;5.37;58.2908;A5;
Canis Minor;;7.553241;3.290379;41.7537;5.59;8.814547;F2;
Canis Minor;;8.020525;4.879824;94.4287;5.65;42.697258;A1;
Canis Minor;;7.242395;12.115824;90.2527;5.71;36.88077;G6;
Canis Minor;;7.130414;7.471214;182.4818;5.74;146.68983;K0;
Canis Minor;;7.260953;7.977742;166.3894;5.78;117.598015;M4;
Canis Minor;;7.571081;3.371725;176.3668;5.83;126.12466;A0;
Canis Minor;;7.925398;8.86284;39.0168;5.86;6.0034375;F2;
Canis Minor;;7.609641;5.862171;39.3082;5.89;5.926523;G0;
Canis Minor;;7.322881;2.740694;195.3125;5.9;145.07748;G9;
Canis Minor;;7.329901;7.142947;53.3049;5.91;10.705329;F8;
Canis Minor;;7.693099;3.624779;139.47;5.95;70.599236;A0;
Canis Minor;;7.367633;0.177121;500.0;5.99;874.98376;B8;
Canis Minor;;7.954411;8.64122;103.1992;6.03;35.908726;K0;
Canis Minor;;7.197606;5.654703;168.3502;6.07;92.129776;A1;
Canis Minor;;7.202081;5.474347;196.0784;6.15;116.091385;K0;
Canis Minor;;7.939974;4.485567;359.7122;6.16;387.25766;G8;
Canis Minor;;7.718172;0.189333;172.117;6.17;87.82133;K0;
Canis Minor;;7.846499;3.277253;150.1502;6.17;66.86518;K1;
Canis Minor;;8.030758;8.913991;63.7755;6.22;11.513305;G0;
Canis Minor;;7.568046;10.568076;135.5014;6.28;49.203953;A1;
Canis Minor;;7.868664;3.277342;155.0388;6.3;63.212067;M5;
Canis Minor;;7.954526;1.127029;61.9579;6.35;9.63829;F6;
Canis Minor;;7.441052;10.608067;79.6813;6.38;15.516723;A2;
Canis Minor;;7.519107;11.202979;227.7904;6.38;126.82358;K0;
Canis Minor;;7.848175;0.079556;162.8664;6.38;64.80373;K2;
Canis Minor;;7.444782;11.008833;409.8361;6.39;406.63055;B7;
Canis Minor;;7.737238;12.860071;208.3333;6.4;104.13579;K0;
Canis Minor;;7.825643;12.81425;180.1802;6.42;76.48918;K0;
Canis Minor;;7.968304;7.21353;231.4815;6.42;126.240875;A0;
Canis Minor;;7.374533;0.700831;71.3776;6.43;11.890497;G5;
Canis Minor;;7.735454;2.405422;123.3046;6.46;34.514374;F0;
Canis Minor;;7.847527;4.459514;152.439;6.49;51.286137;G5;
